Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Active dry yeast|small volume dry||10|1.0 tablespoon|14.79|0.676132522|20|0|0.5|5|2|0||4%|0|0|0|30%
Allspice|small volume dry||2|1.0 teaspoon|4.92892|0.4057684036|5|0.1|0.2|1.4|0.4|0|1%|1%|1|0|0|
Almond meal|bulk dry||28|0.25 cup|59.147|0.473396791|160|6|14|6|3|1|6%|6%||||
Almond milk, unsweetened|liquids||240|1.0 cup|236.588|1.0144216951|40|1|3.5|2|1|0|30%|4%|180|0|0|
Apples, raw slices, peeled|fruit|"09004"|110|1.0 cup|236.588|0.4649432769|53|0.3|0.14|14.04|1.4|11.11|6|0.08|0|0.023|0|4.4
Applesauce, sweetened, without salt|viscous "liquid"|"09020"|246|1.0 cup|236.588|1.0397822375|167|0.39|0.42|43.03|3|36.09|7|0.3|5|0.074|0|4.2
Applesauce, unsweetened|viscous "liquids"||118|0.5 cup|118.294|0.9975146668|50|0|0|13|2|10|||15|0|0|
Apricots, canned halved, with syrup|fruit|"09027"|258|1.0 cup|236.588|1.0905033222|214|1.37|0.21|55.39|4.1|51.26|23|0.77|10|0.013|0|8
Apricots, canned halves, drained|fruit|"09357"|219|1.0 cup|236.588|0.9256597968|182|1.4|0.24|46.67|5.9|40.84|22|0.66|9|0.015|0|6.8
Apricots, dehydrated, uncooked|mix-ins|"09030"|119|1.0 cup|236.588|0.5029840905|381|5.83|0.74|98.64|--|--|73|7.51|15|0.051|0|11.3
Arrowroot starch|small volume dry||33|0.25 cup|59.147|0.5579319323|110|0|0|28|1|0|||0|0|0|
Bacon drippings|fats||28|1 oz|||254|0|28|0|0|0|||43|11|27|
Baking mix (e.g. Bisquick)|bulk dry||40|0.33 cup||0.507|160|3|5|26|1|1|4%|6%|490|1.5||
Baking powder, double acting|small volume dry||1|1.0 teaspoon|4.92892|0.2028842018|8|0|0|4|0|0|16%||320|||
Baking powder, single acting|small volume dry||1|1.0 teaspoon|4.92892|0.2028842018|8|0|0|4|0|0|16%||320|||
Baking soda|small volume dry||1|0.25 teaspoon|1.23223|0.8115368073|0|0|0|0|0|0|||270|0|0|
banana|viscous "liquids"||118|0.5 cup|118.294|0.9975146668|118|1.3|0.4|27|3.1|14.4|1%|2%|1|0.1|0|17%
Barley flour|bulk dry|"20130"|148|1.0 cup|236.588|0.6255600453|511|15.54|2.37|110.29|14.9|1.18|47|3.97|6|0.496|--|0
bean puree|viscous "liquids"|||||||||||||||||
Beans, black, cooked no salt||"16017"|185|1.0 cup|236.588|0.7819500566|240|15.13|0.65|45.05|15.4|0.59|102|5.27|6|0.165|--|0
Beer|liquid||356|12 oz||1|153|1.6|0|12.6|0|0|1%|||||
